City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,16.37,83,100,12.8,SH,1686531764
1,tura,25.5198,90.2201,25.63,83,100,2.03,IN,1686531764
2,whitehorse,60.7161,-135.0538,14.45,41,75,8.23,CA,1686531581
3,bethel,41.3712,-73.414,22.05,69,75,3.6,US,1686531764
4,bisbee,31.4482,-109.9284,25.51,15,0,7.15,US,1686531701
5,keflavik,64.0049,-22.5624,8.95,76,100,7.72,IS,1686531725
6,dunedin,-45.8742,170.5036,12.67,54,100,2.12,NZ,1686531260
7,el alto,-4.2714,-81.2147,22.81,82,10,9.29,PE,1686531765
8,hamilton,39.1834,-84.5333,20.69,95,75,2.57,US,1686531684
9,igrim,63.1906,64.4162,5.18,57,34,5.24,RU,1686531765
10,vorgashor,67.5833,63.95,0.67,76,88,8.24,RU,1686531765
11,bam,29.106,58.357,29.19,26,82,5.19,IR,1686531765
12,lihue,21.9789,-159.3672,28.58,70,0,6.17,US,1686531546
13,chanika,-5.4167,38.0167,18.47,94,97,1.04,TZ,1686531766
14,grytviken,-54.2811,-36.5092,-3.86,83,51,4.87,GS,1686531766
15,hithadhoo,-0.6,73.0833,28.32,74,100,3.78,MV,1686531618
16,posse,-14.0931,-46.3694,22.24,44,20,1.89,BR,1686531532
17,sychevka,55.8252,34.2736,4.73,76,100,3.35,RU,1686531766
18,wuhai,39.6647,106.8122,24.51,19,35,2.77,CN,1686531767
19,blackmans bay,-43.0167,147.3167,12.63,72,81,2.79,AU,1686531767
20,yellowknife,62.456,-114.3525,4.29,93,100,6.71,CA,1686531755
21,hawaiian paradise park,19.5933,-154.9731,27.16,80,2,4.98,US,1686531767
22,stanley,54.868,-1.6985,15.16,91,0,1.54,GB,1686531767
23,waitangi,-43.9535,-176.5597,13.23,88,99,0.89,NZ,1686531767
24,iskateley,67.6803,53.1512,3.85,58,100,2.48,RU,1686531768
25,kyzyl-suu,42.3414,78.0056,17.48,59,23,0.67,KG,1686531768
26,ushuaia,-54.8,-68.3,0.81,93,100,10.29,AR,1686531397
27,bredasdorp,-34.5322,20.0403,13.34,84,85,7.6,ZA,1686531768
28,el calafate,-50.3408,-72.2768,0.47,70,0,4.96,AR,1686531768
29,albany,42.6001,-73.9662,20.74,83,67,2.15,US,1686531602
30,west island,-12.1568,96.8225,25.99,73,75,11.05,CC,1686531768
31,sao vicente,-23.9631,-46.3919,26.1,26,1,0.89,BR,1686531769
32,kalianget,-7.05,113.9333,28.14,73,100,6.06,ID,1686531769
33,jamestown,42.097,-79.2353,22.8,49,100,2.57,US,1686531652
34,zadar,44.1197,15.2422,17.34,94,0,1.03,HR,1686531475
35,qaqortoq,60.7167,-46.0333,4.38,82,7,2.4,GL,1686531770
36,nogliki,51.8333,143.1667,6.91,98,100,1.58,RU,1686531770
37,saldanha,-33.0117,17.9442,14.03,85,0,5.03,ZA,1686531714
38,puerto natales,-51.7236,-72.4875,5.01,80,70,6.58,CL,1686531770
39,thompson,55.7435,-97.8558,25.09,33,20,5.14,CA,1686531770
40,warrenton,-28.114,24.8475,11.36,27,80,4.04,ZA,1686531770
41,gondia,21.45,80.2,32.23,41,33,3.13,IN,1686531771
42,pavilosta,56.8879,21.1859,7.95,63,0,3.32,LV,1686531771
43,le port,-20.9373,55.2919,22.98,89,5,2.31,RE,1686531771
44,novyy urengoy,66.0833,76.6333,8.77,65,11,5.93,RU,1686531771
45,bilibino,68.0546,166.4372,17.67,48,100,5.9,RU,1686531771
46,tabou,4.423,-7.3528,25.16,81,98,5.05,CI,1686531772
47,puerto ayora,-0.7393,-90.3518,26.42,90,100,3.58,EC,1686531772
48,papatowai,-46.5619,169.4708,8.12,77,47,5.19,NZ,1686531772
49,lebu,-37.6167,-73.65,10.2,72,5,11.06,CL,1686531624
50,margaret river,-33.95,115.0667,14.91,65,100,5.7,AU,1686531621
51,adamstown,-25.066,-130.1015,20.9,57,64,6.97,PN,1686531772
52,diamantino,-14.4086,-56.4461,24.55,64,40,1.32,BR,1686531772
53,tiksi,71.6872,128.8694,0.27,90,100,5.82,RU,1686531773
54,saipan,15.1355,145.701,31.39,100,20,6.69,MP,1686531773
55,minas de marcona,-15.2119,-75.1103,11.9,88,37,6.33,PE,1686531773
56,port-aux-francais,-49.35,70.2167,5.29,92,100,17.71,TF,1686531677
57,thunder bay,48.4001,-89.3168,18.95,27,40,3.6,CA,1686531773
58,port douglas,-16.4833,145.4667,24.44,69,12,3.03,AU,1686531774
59,iqaluit,63.7506,-68.5145,1.85,64,75,11.83,CA,1686531774
60,klyuchi,52.2667,79.1667,17.75,53,0,0.96,RU,1686531774
61,ilulissat,69.2167,-51.1,9.01,61,100,6.17,GL,1686531774
62,ribeira grande,38.5167,-28.7,19.87,86,100,5.36,PT,1686531774
63,arawa,-6.2132,155.5367,30.54,65,73,2.41,PG,1686531774
64,hasaki,35.7333,140.8333,21.27,93,100,2.34,JP,1686531775
65,ocean shores,46.9737,-124.1563,20.21,81,0,4.63,US,1686531775
66,talara,-4.5772,-81.2719,24.42,83,0,6.69,PE,1686531775
67,la ronge,55.1001,-105.2842,29.14,28,0,5.66,CA,1686531775
